name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list
Ho-Chul Shin ,Mr.,Mr. Ho-Chul Shin ,8
Huzi Ishaku Mshelia ,Mr.,Mr. Huzi Ishaku Mshelia ,8
Igino Emmer ,Mr.,Mr. Igino Emmer ,8
Ilhomjon Rajabov ,Mr.,Mr. Ilhomjon Rajabov ,8
Jan Kowalzig ,Mr.,Mr. Jan Kowalzig ,8
Jean-Bernard Carrasco ,Mr.,Mr. Jean-Bernard Carrasco ,8
JesÃºs GarcÃ­a Latorre ,Mr.,Mr. JesÃºs GarcÃ­a Latorre ,8
Jiahua Pan ,Mr.,Mr. Jiahua Pan ,8
Jin-Gyu Oh ,Mr.,Mr. Jin-Gyu Oh ,8
Johan Nylander ,Mr.,Mr. Johan Nylander ,8
Jong-Whan Noh ,Mr.,Mr. Jong-Whan Noh ,8
Jorund Buen ,Mr.,Mr. Jorund Buen ,8
JosÃ© Domingos Gonzalez Miguez ,Mr.,Mr. JosÃ© Domingos Gonzalez Miguez ,8
Junichi Fujino ,Mr.,Mr. Junichi Fujino ,8
Kazuhisa Koakutsu ,Mr.,Mr. Kazuhisa Koakutsu ,8
Klas Ã–sterberg ,Mr.,Mr. Klas Ã–sterberg ,8
Klaus Milke ,Mr.,Mr. Klaus Milke ,8
Lambert Schneider ,Mr.,Mr. Lambert Schneider ,8
Laurent Piermont ,Mr.,Mr. Laurent Piermont ,8
Lex de Jonge ,Mr.,Mr. Lex de Jonge ,8
Libasse Ba ,Mr.,Mr. Libasse Ba ,8
Luc Bas ,Mr.,Mr. Luc Bas ,8
Lucas AssunÃ§Ã£o ,Mr.,Mr. Lucas AssunÃ§Ã£o ,8
LuÃ­z Gylvan Meira Filho ,Mr.,Mr. LuÃ­z Gylvan Meira Filho ,8
Mack McFarland ,Mr.,Mr. Mack McFarland ,8
Marc Stuart ,Mr.,Mr. Marc Stuart ,8
Marcial Arias Garcia ,Mr.,Mr. Marcial Arias Garcia ,8
Mariano Colini Cenamo ,Mr.,Mr. Mariano Colini Cenamo ,8
Martin Enderlin ,Mr.,Mr. Martin Enderlin ,8
Martin Herold ,Mr.,Mr. Martin Herold ,8
Martin Hession ,Mr.,Mr. Martin Hession ,8
Martin Weiss ,Mr.,Mr. Martin Weiss ,8
Maurizio Di Lullo ,Mr.,Mr. Maurizio Di Lullo ,8
Michael Obersteiner ,Mr.,Mr. Michael Obersteiner ,8
Milan Dacic ,Mr.,Mr. Milan Dacic ,8
Miroslav Spasojevic ,Mr.,Mr. Miroslav Spasojevic ,8
Mitsutoshi Hayakawa ,Mr.,Mr. Mitsutoshi Hayakawa ,8
Mohammad Reazuddin ,Mr.,Mr. Mohammad Reazuddin ,8
Mozaharul Alam ,Mr.,Mr. Mozaharul Alam ,8
Murray Ward ,Mr.,Mr. Murray Ward ,8
Myung-Kyoon Lee ,Mr.,Mr. Myung-Kyoon Lee ,8
Nasir Khattak ,Mr.,Mr. Nasir Khattak ,8
Neilton Fidelis da Silva ,Mr.,Mr. Neilton Fidelis da Silva ,8
Newton Paciornik ,Mr.,Mr. Newton Paciornik ,8
Niklas HÃ¶hne ,Mr.,Mr. Niklas HÃ¶hne ,8
Paata Janelidze ,Mr.,Mr. Paata Janelidze ,8
Pairat Tangkaseranee ,Mr.,Mr. Pairat Tangkaseranee ,8
Patrick Hofstetter ,Mr.,Mr. Patrick Hofstetter ,8
Paul Isabirye ,Mr.,Mr. Paul Isabirye ,8
Pedro Martins Barata ,Mr.,Mr. Pedro Martins Barata ,8
Pentti Tiusanen ,Mr.,Mr. Pentti Tiusanen ,8
Peter Botschek ,Mr.,Mr. Peter Botschek ,8
Peter Carter ,Mr.,Mr. Peter Carter ,8
Philip Pearson ,Mr.,Mr. Philip Pearson ,8
Philip Wright ,Mr.,Mr. Philip Wright ,8
Quamrul Islam Chowdhury ,Mr.,Mr. Quamrul Islam Chowdhury ,8
Rajesh Kumar Sethi ,Mr.,Mr. Rajesh Kumar Sethi ,8
Reid Basher ,Mr.,Mr. Reid Basher ,8
Ricardo Melendez-Ortiz ,Mr.,Mr. Ricardo Melendez-Ortiz ,8
