Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
Jo-ellen Parry,2008,Cop Side Event,2008_Cop Side Event,jo-ellen parry,5,Jo-Ellen PARRY,Mr.,Mr. Jo-Ellen PARRY,2,,,2,Jo-Ellen PARRY|2008|Cop Side Event
Jo-ellen Parry,2009,Cop Side Event,2009_Cop Side Event,jo-ellen parry,5,Jo-Ellen PARRY,Mr.,Mr. Jo-Ellen PARRY,2,,,2,Jo-Ellen PARRY|2009|Cop Side Event
Joel Levin,2010,Cop Side Event,2010_Cop Side Event,joel levin,1,Joel Levin,Mr.,Mr. Joel Levin,3,,,2,Joel Levin|2010|Cop Side Event
Joerg Haas,2005,Cop Side Event,2005_Cop Side Event,joerg haas,1,Joerg Haas,Mr.,Mr. Joerg Haas,4,,,2,Joerg Haas|2005|Cop Side Event
Joeri Rogelj,2013,IPCC,2013_IPCC,joeri rogelj,2,Joeri Rogelj,Mr.,Mr. Joeri Rogelj,3,,,2,Joeri Rogelj|2013|IPCC
Johane Meagher,2006,Cop Side Event,2006_Cop Side Event,johane meagher,1,Johane Meagher,Ms.,Ms. Johane Meagher,5,,,2,Johane Meagher|2006|Cop Side Event
Johannes Dietz,2003,Cop Side Event,2003_Cop Side Event,johannes dietz,1,Johannes Dietz,Mr.,Mr. Johannes Dietz,1,,,2,Johannes Dietz|2003|Cop Side Event
John Byrne,2009,Cop Side Event,2009_Cop Side Event,john byrne,1,John Byrne,Mr.,Mr. John Byrne,4,,,2,John Byrne|2009|Cop Side Event
John Carnegie,2012,Cop Side Event,2012_Cop Side Event,john carnegie,1,John Carnegie,Mr.,Mr. John Carnegie,4,,,2,John Carnegie|2012|Cop Side Event
John Christensen,2007,Cop Side Event,2007_Cop Side Event,john christensen,2,John Christensen,Mr.,Mr. John Christensen,5,,,2,John Christensen|2007|Cop Side Event
John Christensen,2012,Cop Side Event,2012_Cop Side Event,john christensen,2,John Christensen,Mr.,Mr. John Christensen,5,,,2,John Christensen|2012|Cop Side Event
John Drexhage,2003,Cop Side Event,2003_Cop Side Event,john drexhage,3,John Drexhage,Mr.,Mr. John Drexhage,11,,,2,John Drexhage|2003|Cop Side Event
John Drexhage,2005,Cop Side Event,2005_Cop Side Event,john drexhage,3,John Drexhage,Mr.,Mr. John Drexhage,11,,,2,John Drexhage|2005|Cop Side Event
John Drexhage,2006,Cop Side Event,2006_Cop Side Event,john drexhage,3,John Drexhage,Mr.,Mr. John Drexhage,11,,,2,John Drexhage|2006|Cop Side Event
John Holmes,2003,Cop Side Event,2003_Cop Side Event,john holmes,1,John HOLMES,Mr.,Mr. John HOLMES,4,,,2,John HOLMES|2003|Cop Side Event
John Lanchbery,2007,Cop Side Event,2007_Cop Side Event,john lanchbery,5,John Lanchbery,Mr.,Mr. John Lanchbery,7,,,2,John Lanchbery|2007|Cop Side Event
John Lanchbery,2008,Cop Side Event,2008_Cop Side Event,john lanchbery,5,John Lanchbery,Mr.,Mr. John Lanchbery,7,,,2,John Lanchbery|2008|Cop Side Event
John Lanchbery,2009,Cop Side Event,2009_Cop Side Event,john lanchbery,5,John Lanchbery,Mr.,Mr. John Lanchbery,7,,,2,John Lanchbery|2009|Cop Side Event
